Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
hotel,2026-05-19,2026-05-21,Starlit By Zameen Opal,US$39,Scored 8.4,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/664549307.webp?k=f74b4d829136662023ffb1783fb1deee3e7cdea2fbea50f15ecdfa199909eed5&o=,images_hotel\Starlit_By_Zameen_Opal_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Montressa Executive Apartments- Luxury Stay Facing Centaurus Mall Islamabad,US$155,Scored 7.5,,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/704315276.webp?k=60f770d5983beaf5b81e9466cbc837dfebabb1302096927aa0e7920a84ee7d3c&o=,images_hotel\Montressa_Executive_Apartments-_Luxury_Stay_Facing_Centaurus_Mall_Islamabad_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Holiday Guest House Lahore,US$40,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/659158668.webp?k=e54c5739e3beb9a09d438eb2b25280a160b8d9d1c9a50da3af8c160b4faa96cb&o=,images_hotel\Holiday_Guest_House_Lahore_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Shanze Hotel And Suites,US$32,Scored 6.1,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/682760439.webp?k=757622ae3e7ecfcb159674b295b9b07fc173dac0358d87022ecc04a26a9705b3&o=,images_hotel\Shanze_Hotel_And_Suites_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,The Barcelo hotel,US$95,Scored 8.8,,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Hotel Breezy Lahore,US$46,Scored 8.6,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/610977311.webp?k=ff5075ee70d11dd584697c944bf2f24d8cdc2dfc9edf75858560b75b6f519111&o=,images_hotel\Hotel_Breezy_Lahore_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Hotel Grand Lahore,US$73,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/410427549.webp?k=4761f746f725498f55fca27fc7965d8fd289cbc95770d700da27b2d1033a7ae6&o=,images_hotel\Hotel_Grand_Lahore_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Hotel Rose Inn Lahore,US$32,Scored 8.5,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/408937518.webp?k=c8e1214c9df6d0c137be3c63a29baee0d450232fecc8eb43a03959530013aade&o=,images_hotel\Hotel_Rose_Inn_Lahore_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Infinity Hotel,US$42,Scored 8.1,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/704713035.webp?k=e3022b63b750b22d96caf956655ffbb91201e0f4ae6c87111847d55c7c2acd69&o=,images_hotel\Infinity_Hotel_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Hotel Crossroads,US$70,Scored 7.8,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/605254937.webp?k=377601e4a9c65de927ca7f98f86144d80cc200431ad040b82bb8081e8551a964&o=,images_hotel\Hotel_Crossroads_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Reina Boutique Hotel - G9,US$46,Scored 8.3,,,"G-9 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/181729468.webp?k=6a1671b692139b79412f3345b4c904eb87140d3d878f3db23924865dc18b1b7e&o=,images_hotel\Reina_Boutique_Hotel_-_G9_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Hikal Guest House,US$36,Scored 9.7,,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/223100496.webp?k=6ea7f50127b36e2b4633019738625cae070a988d69b567ff07c36aa6579c4696&o=,images_hotel\Hikal_Guest_House_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Boutiqueinn Ayubia,US$53,Scored 6.6,,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/328452590.webp?k=1f5effeab157f15a402f7a3c9151b0b3441d67a5375129a3589e564dd26e7e93&o=,images_hotel\Boutiqueinn_Ayubia_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Premier Inn Grand Gulberg Lahore,US$63,Scored 8.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/565907235.webp?k=d88e753c49dbcf31e149f8dbaade09786fa56fb4af3549f4ad3d85794d3f452a&o=,images_hotel\Premier_Inn_Grand_Gulberg_Lahore_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Luxury Apartment Rentals,US$135,Scored 6.3,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/536066131.webp?k=e1385940fdca25e5ae28b7d74269faf17a2b108de0d526425ffee5493638a080&o=,images_hotel\Luxury_Apartment_Rentals_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,"Rose Palace Hotel, Gulberg",US$65,Scored 7.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Hotel Seven 7,US$61,Scored 7.9,,,"Bath Island, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/333054666.webp?k=92d67e017140dafc8c73ee238d20a612b669aac65755105d16f6fb7e090f6706&o=,images_hotel\Hotel_Seven_7_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Destination Heritage Peshawar,US$105,Scored 7.4,,,Peshawar,https://cf.bstatic.com/xdata/images/hotel/square240/670034179.webp?k=151f391a67f45c89e86ccb1637f61777a3bd8ddbace51f9cdffa3bc814dbbdbf&o=,images_hotel\Destination_Heritage_Peshawar_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,The White Suites - by the Creek,US$177,Scored 9.8,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/682087405.webp?k=2db326460ea6d42e8af72ab039aa5385459df04e7cd8abb9c86557f31afb0354&o=,images_hotel\The_White_Suites_-_by_the_Creek_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,"Lawrence View Hotel, Lahore",US$85,Scored 8.7,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/455022966.webp?k=cb2e00c6286426d902c205954be4ceda2bdadf1ee9de015310050775a1e015e3&o=,images_hotel\Lawrence_View_Hotel__Lahore_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Ambrina Hotel,US$63,Scored 9.0,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/629490188.webp?k=4798863178338085b97c8084c6ce059ff2e1973dc8377d689f5e81b42f02e62d&o=,images_hotel\Ambrina_Hotel_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,"Rose Palace Hotel, Garden Town",US$57,Scored 7.5,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/130666464.webp?k=a9fc4870da8c870c607a9a2b1fcb10c948253b866476c84fcaf734c8d29182b3&o=,images_hotel\Rose_Palace_Hotel__Garden_Town_2026-05-19.jpg
hotel,2026-05-19,2026-05-21,Hayyat Luxury Hotel Suites,US$64,Scored 8.9,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/465234573.webp?k=caae1a8a28fffeba3119083562e4a220ab07fdbeb6a8d0651f4f7bb03d7ff8ea&o=,images_hotel\Hayyat_Luxury_Hotel_Suites_2026-05-19.jpg
hotel,2026-05-26,2026-05-28,Four Squares by WI Hotel,US$67,Scored 8.7,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/591695576.webp?k=f836fa902ac2c9105d2b248f87e1c2550732bd1190a70d924bd5a647af3a9ea3&o=,images_hotel\Four_Squares_by_WI_Hotel_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Travis Executive Guest House Islamabad,US$26,Scored 8.2,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/688777059.webp?k=2cabfe62564cb3f541ecb042b88fd3d01de5f254e6ca9ae6f2c0ccf7d918860c&o=,images_hotel\Travis_Executive_Guest_House_Islamabad_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Starlit By Zameen Opal,US$39,Scored 8.4,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/664549307.webp?k=f74b4d829136662023ffb1783fb1deee3e7cdea2fbea50f15ecdfa199909eed5&o=,images_hotel\Starlit_By_Zameen_Opal_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Montressa Executive Apartments- Luxury Stay Facing Centaurus Mall Islamabad,US$155,Scored 7.5,,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/704315276.webp?k=60f770d5983beaf5b81e9466cbc837dfebabb1302096927aa0e7920a84ee7d3c&o=,images_hotel\Montressa_Executive_Apartments-_Luxury_Stay_Facing_Centaurus_Mall_Islamabad_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Holiday Guest House Lahore,US$40,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/659158668.webp?k=e54c5739e3beb9a09d438eb2b25280a160b8d9d1c9a50da3af8c160b4faa96cb&o=,images_hotel\Holiday_Guest_House_Lahore_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Shanze Hotel And Suites,US$32,Scored 6.1,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/682760439.webp?k=757622ae3e7ecfcb159674b295b9b07fc173dac0358d87022ecc04a26a9705b3&o=,images_hotel\Shanze_Hotel_And_Suites_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Hotel Breezy Lahore,US$46,Scored 8.6,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/610977311.webp?k=ff5075ee70d11dd584697c944bf2f24d8cdc2dfc9edf75858560b75b6f519111&o=,images_hotel\Hotel_Breezy_Lahore_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,The Barcelo hotel,US$95,Scored 8.8,,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Hotel Grand Lahore,US$73,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/410427549.webp?k=4761f746f725498f55fca27fc7965d8fd289cbc95770d700da27b2d1033a7ae6&o=,images_hotel\Hotel_Grand_Lahore_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Gulberg Inn Hotel Lahore,US$53,Scored 7.2,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/623157507.webp?k=796ac5d42ef35c9c3cf6fd747f127d020106524890fafcc7ae704f7941c4fd94&o=,images_hotel\Gulberg_Inn_Hotel_Lahore_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Hotel Rose Inn Lahore,US$32,Scored 8.5,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/408937518.webp?k=c8e1214c9df6d0c137be3c63a29baee0d450232fecc8eb43a03959530013aade&o=,images_hotel\Hotel_Rose_Inn_Lahore_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Infinity Hotel,US$42,Scored 8.1,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/704713035.webp?k=e3022b63b750b22d96caf956655ffbb91201e0f4ae6c87111847d55c7c2acd69&o=,images_hotel\Infinity_Hotel_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Hotel Crossroads,US$70,Scored 7.8,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/605254937.webp?k=377601e4a9c65de927ca7f98f86144d80cc200431ad040b82bb8081e8551a964&o=,images_hotel\Hotel_Crossroads_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Reina Boutique Hotel - G9,US$46,Scored 8.3,,,"G-9 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/181729468.webp?k=6a1671b692139b79412f3345b4c904eb87140d3d878f3db23924865dc18b1b7e&o=,images_hotel\Reina_Boutique_Hotel_-_G9_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Hikal Guest House,US$36,Scored 9.7,,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/223100496.webp?k=6ea7f50127b36e2b4633019738625cae070a988d69b567ff07c36aa6579c4696&o=,images_hotel\Hikal_Guest_House_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Boutiqueinn Ayubia,US$53,Scored 6.6,,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/328452590.webp?k=1f5effeab157f15a402f7a3c9151b0b3441d67a5375129a3589e564dd26e7e93&o=,images_hotel\Boutiqueinn_Ayubia_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Premier Inn Grand Gulberg Lahore,US$63,Scored 8.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/565907235.webp?k=d88e753c49dbcf31e149f8dbaade09786fa56fb4af3549f4ad3d85794d3f452a&o=,images_hotel\Premier_Inn_Grand_Gulberg_Lahore_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Luxury Apartment Rentals,US$135,Scored 6.3,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/536066131.webp?k=e1385940fdca25e5ae28b7d74269faf17a2b108de0d526425ffee5493638a080&o=,images_hotel\Luxury_Apartment_Rentals_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Hotel Seven 7,US$61,Scored 7.9,,,"Bath Island, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/333054666.webp?k=92d67e017140dafc8c73ee238d20a612b669aac65755105d16f6fb7e090f6706&o=,images_hotel\Hotel_Seven_7_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,"Rose Palace Hotel, Gulberg",US$65,Scored 7.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Ambrina Hotel,US$63,Scored 9.0,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/629490188.webp?k=4798863178338085b97c8084c6ce059ff2e1973dc8377d689f5e81b42f02e62d&o=,images_hotel\Ambrina_Hotel_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,Destination Heritage Peshawar,US$105,Scored 7.4,,,Peshawar,https://cf.bstatic.com/xdata/images/hotel/square240/670034179.webp?k=151f391a67f45c89e86ccb1637f61777a3bd8ddbace51f9cdffa3bc814dbbdbf&o=,images_hotel\Destination_Heritage_Peshawar_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,The White Suites - by the Creek,US$177,Scored 9.8,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/682087405.webp?k=2db326460ea6d42e8af72ab039aa5385459df04e7cd8abb9c86557f31afb0354&o=,images_hotel\The_White_Suites_-_by_the_Creek_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,"Rose Palace Hotel, Garden Town",US$57,Scored 7.5,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/130666464.webp?k=a9fc4870da8c870c607a9a2b1fcb10c948253b866476c84fcaf734c8d29182b3&o=,images_hotel\Rose_Palace_Hotel__Garden_Town_2026-05-26.jpg
hotel,2026-05-26,2026-05-28,"Lawrence View Hotel, Lahore",US$85,Scored 8.7,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/455022966.webp?k=cb2e00c6286426d902c205954be4ceda2bdadf1ee9de015310050775a1e015e3&o=,images_hotel\Lawrence_View_Hotel__Lahore_2026-05-26.jpg
hotel,2026-06-02,2026-06-04,Four Squares by WI Hotel,US$67,Scored 8.7,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/591695576.webp?k=f836fa902ac2c9105d2b248f87e1c2550732bd1190a70d924bd5a647af3a9ea3&o=,images_hotel\Four_Squares_by_WI_Hotel_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Travis Executive Guest House Islamabad,US$26,Scored 8.2,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/688777059.webp?k=2cabfe62564cb3f541ecb042b88fd3d01de5f254e6ca9ae6f2c0ccf7d918860c&o=,images_hotel\Travis_Executive_Guest_House_Islamabad_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Starlit By Zameen Opal,US$39,Scored 8.4,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/664549307.webp?k=f74b4d829136662023ffb1783fb1deee3e7cdea2fbea50f15ecdfa199909eed5&o=,images_hotel\Starlit_By_Zameen_Opal_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,The Barcelo hotel,US$95,Scored 8.8,,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Shanze Hotel And Suites,US$32,Scored 6.1,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/682760439.webp?k=757622ae3e7ecfcb159674b295b9b07fc173dac0358d87022ecc04a26a9705b3&o=,images_hotel\Shanze_Hotel_And_Suites_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Hotel Grand Lahore,US$73,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/410427549.webp?k=4761f746f725498f55fca27fc7965d8fd289cbc95770d700da27b2d1033a7ae6&o=,images_hotel\Hotel_Grand_Lahore_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Hotel Breezy Lahore,US$47,Scored 8.6,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/610977311.webp?k=ff5075ee70d11dd584697c944bf2f24d8cdc2dfc9edf75858560b75b6f519111&o=,images_hotel\Hotel_Breezy_Lahore_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Holiday Guest House Lahore,US$45,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/659158668.webp?k=e54c5739e3beb9a09d438eb2b25280a160b8d9d1c9a50da3af8c160b4faa96cb&o=,images_hotel\Holiday_Guest_House_Lahore_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Hotel Rose Inn Lahore,US$32,Scored 8.5,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/408937518.webp?k=c8e1214c9df6d0c137be3c63a29baee0d450232fecc8eb43a03959530013aade&o=,images_hotel\Hotel_Rose_Inn_Lahore_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Infinity Hotel,US$42,Scored 8.1,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/704713035.webp?k=e3022b63b750b22d96caf956655ffbb91201e0f4ae6c87111847d55c7c2acd69&o=,images_hotel\Infinity_Hotel_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Boutiqueinn Ayubia,US$53,Scored 6.6,,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/328452590.webp?k=1f5effeab157f15a402f7a3c9151b0b3441d67a5375129a3589e564dd26e7e93&o=,images_hotel\Boutiqueinn_Ayubia_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Reina Boutique Hotel - G9,US$46,Scored 8.3,,,"G-9 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/181729468.webp?k=6a1671b692139b79412f3345b4c904eb87140d3d878f3db23924865dc18b1b7e&o=,images_hotel\Reina_Boutique_Hotel_-_G9_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Hotel Crossroads,US$70,Scored 7.8,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/605254937.webp?k=377601e4a9c65de927ca7f98f86144d80cc200431ad040b82bb8081e8551a964&o=,images_hotel\Hotel_Crossroads_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Hikal Guest House,US$36,Scored 9.7,,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/223100496.webp?k=6ea7f50127b36e2b4633019738625cae070a988d69b567ff07c36aa6579c4696&o=,images_hotel\Hikal_Guest_House_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Premier Inn Grand Gulberg Lahore,US$63,Scored 8.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/565907235.webp?k=d88e753c49dbcf31e149f8dbaade09786fa56fb4af3549f4ad3d85794d3f452a&o=,images_hotel\Premier_Inn_Grand_Gulberg_Lahore_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Luxury Apartment Rentals,US$135,Scored 6.3,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/536066131.webp?k=e1385940fdca25e5ae28b7d74269faf17a2b108de0d526425ffee5493638a080&o=,images_hotel\Luxury_Apartment_Rentals_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Montressa Executive Apartments- Luxury Stay Facing Centaurus Mall Islamabad,US$155,Scored 7.5,,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/704315276.webp?k=60f770d5983beaf5b81e9466cbc837dfebabb1302096927aa0e7920a84ee7d3c&o=,images_hotel\Montressa_Executive_Apartments-_Luxury_Stay_Facing_Centaurus_Mall_Islamabad_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,"Rose Palace Hotel, Gulberg",US$65,Scored 7.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Hotel Seven 7,US$61,Scored 7.9,,,"Bath Island, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/333054666.webp?k=92d67e017140dafc8c73ee238d20a612b669aac65755105d16f6fb7e090f6706&o=,images_hotel\Hotel_Seven_7_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,"Lawrence View Hotel, Lahore",US$85,Scored 8.7,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/455022966.webp?k=cb2e00c6286426d902c205954be4ceda2bdadf1ee9de015310050775a1e015e3&o=,images_hotel\Lawrence_View_Hotel__Lahore_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Destination Heritage Peshawar,US$105,Scored 7.4,,,Peshawar,https://cf.bstatic.com/xdata/images/hotel/square240/670034179.webp?k=151f391a67f45c89e86ccb1637f61777a3bd8ddbace51f9cdffa3bc814dbbdbf&o=,images_hotel\Destination_Heritage_Peshawar_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,"Rose Palace Hotel, Garden Town",US$57,Scored 7.5,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/130666464.webp?k=a9fc4870da8c870c607a9a2b1fcb10c948253b866476c84fcaf734c8d29182b3&o=,images_hotel\Rose_Palace_Hotel__Garden_Town_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Hayyat Luxury Hotel Suites,US$64,Scored 8.9,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/465234573.webp?k=caae1a8a28fffeba3119083562e4a220ab07fdbeb6a8d0651f4f7bb03d7ff8ea&o=,images_hotel\Hayyat_Luxury_Hotel_Suites_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,Ambrina Hotel,US$63,Scored 9.0,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/629490188.webp?k=4798863178338085b97c8084c6ce059ff2e1973dc8377d689f5e81b42f02e62d&o=,images_hotel\Ambrina_Hotel_2026-06-02.jpg
hotel,2026-06-02,2026-06-04,The White Suites - by the Creek,US$177,Scored 9.8,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/682087405.webp?k=2db326460ea6d42e8af72ab039aa5385459df04e7cd8abb9c86557f31afb0354&o=,images_hotel\The_White_Suites_-_by_the_Creek_2026-06-02.jpg
hotel,2026-06-09,2026-06-11,Four Squares by WI Hotel,US$67,Scored 8.7,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/591695576.webp?k=f836fa902ac2c9105d2b248f87e1c2550732bd1190a70d924bd5a647af3a9ea3&o=,images_hotel\Four_Squares_by_WI_Hotel_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,Travis Executive Guest House Islamabad,US$26,Scored 8.2,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/688777059.webp?k=2cabfe62564cb3f541ecb042b88fd3d01de5f254e6ca9ae6f2c0ccf7d918860c&o=,images_hotel\Travis_Executive_Guest_House_Islamabad_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,Starlit By Zameen Opal,US$39,Scored 8.4,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/664549307.webp?k=f74b4d829136662023ffb1783fb1deee3e7cdea2fbea50f15ecdfa199909eed5&o=,images_hotel\Starlit_By_Zameen_Opal_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,The Barcelo hotel,US$95,Scored 8.8,,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,Shanze Hotel And Suites,US$32,Scored 6.1,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/682760439.webp?k=757622ae3e7ecfcb159674b295b9b07fc173dac0358d87022ecc04a26a9705b3&o=,images_hotel\Shanze_Hotel_And_Suites_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,Hotel Grand Lahore,US$73,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/410427549.webp?k=4761f746f725498f55fca27fc7965d8fd289cbc95770d700da27b2d1033a7ae6&o=,images_hotel\Hotel_Grand_Lahore_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,Hotel Breezy Lahore,US$47,Scored 8.6,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/610977311.webp?k=ff5075ee70d11dd584697c944bf2f24d8cdc2dfc9edf75858560b75b6f519111&o=,images_hotel\Hotel_Breezy_Lahore_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,Holiday Guest House Lahore,US$45,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/659158668.webp?k=e54c5739e3beb9a09d438eb2b25280a160b8d9d1c9a50da3af8c160b4faa96cb&o=,images_hotel\Holiday_Guest_House_Lahore_2026-06-09.jpg
hotel,2026-06-09,2026-06-11,Boutiqueinn Ayubia,US$53,Scored 6.6,,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/328452590.webp?k=1f5effeab157f15a402f7a3c9151b0b3441d67a5375129a3589e564dd26e7e93&o=,images_hotel\Boutiqueinn_Ayubia_2026-06-09.jpg
